id,coverType_1to7
435760,1
435761,2
435762,3
435763,2
435764,6
435765,1
435766,3
435767,1
435768,1
435769,2
435770,2
435771,1
435772,2
435773,2
435774,1
435775,1
435776,1
435777,1
435778,2
435779,1
435780,1
435781,2
435782,5
435783,2
435784,2
435785,1
435786,3
435787,2
435788,2
435789,1
435790,2
435791,2
435792,2
435793,2
435794,2
435795,1
435796,2
435797,2
435798,1
435799,1
435800,2
435801,2
435802,1
435803,2
435804,1
435805,7
435806,1
435807,1
435808,1
435809,1
435810,1
435811,2
435812,1
435813,1
435814,1
435815,2
435816,1
435817,2
435818,2
435819,3
435820,2
435821,2
435822,2
435823,7
435824,5
435825,2
435826,1
435827,1
435828,1
435829,2
435830,2
435831,7
435832,2
435833,6
435834,2
435835,6
435836,2
435837,3
435838,2
435839,2
435840,7
435841,2
435842,1
435843,2
435844,1
435845,2
435846,1
435847,2
435848,2
435849,3
435850,1
435851,1
435852,2
435853,2
435854,7
435855,1
435856,2
435857,1
435858,2
435859,3
435860,2
435861,1
435862,2
435863,1
435864,2
435865,2
435866,2
435867,2
435868,1
435869,2
435870,1
435871,2
435872,1
435873,1
435874,2
435875,1
435876,2
435877,2
435878,2
435879,1
435880,2
435881,2
435882,2
435883,2
435884,1
435885,2
435886,1
435887,1
435888,2
435889,3
435890,1
435891,2
435892,2
435893,2
435894,2
435895,2
435896,1
435897,1
435898,1
435899,2
435900,1
435901,1
435902,1
435903,2
435904,2
435905,3
435906,2
435907,1
435908,3
435909,2
435910,2
435911,6
435912,2
435913,2
435914,2
435915,7
435916,2
435917,1
435918,2
435919,1
435920,1
435921,2
435922,2
435923,1
435924,2
435925,2
435926,2
435927,2
435928,1
435929,2
435930,2
435931,1
435932,2
435933,1
435934,1
435935,2
435936,1
435937,1
435938,2
435939,2
435940,3
435941,1
435942,2
435943,1
435944,1
435945,2
435946,5
435947,1
435948,2
435949,2
435950,2
435951,2
435952,3
435953,2
435954,1
435955,2
435956,2
435957,2
435958,2
435959,2
435960,2
435961,1
435962,2
435963,1
435964,2
435965,2
435966,2
435967,2
435968,2
435969,1
435970,1
435971,2
435972,2
435973,1
435974,7
435975,2
435976,1
435977,2
435978,1
435979,2
435980,2
435981,2
435982,1
435983,2
435984,2
435985,1
435986,1
435987,1
435988,3
435989,2
435990,5
435991,1
435992,1
435993,2
435994,1
435995,1
435996,1
435997,2
435998,2
435999,2
436000,2
436001,1
436002,1
436003,7
436004,1
436005,2
436006,2
436007,2
436008,2
436009,2
436010,2
436011,1
436012,1
436013,1
436014,1
436015,1
436016,2
436017,6
436018,2
436019,1
436020,2
436021,2
436022,3
436023,1
436024,1
436025,1
436026,2
436027,1
436028,2
436029,2
436030,1
436031,1
436032,3
436033,1
436034,3
436035,2
436036,2
436037,1
436038,2
436039,1
436040,1
436041,1
436042,1
436043,2
436044,2
436045,1
436046,1
436047,1
436048,6
436049,2
436050,2
436051,2
436052,2
436053,2
436054,1
436055,2
436056,2
436057,3
436058,2
436059,1
436060,5
436061,6
436062,2
436063,1
436064,2
436065,2
436066,1
436067,1
